Name,Location,Price
"EDREMİT'İN EN MANZARALI BÖLGESİNDE 3+1 DAİRE
            ","['Edremit', ' Balıkesir']",2.100.000 TL
"ÇİĞLİ ATAŞEHİR'DE USTAOĞLU SİTESİN'DE SATILIK 3+1 DAİRE
            ","['Çiğli', ' İzmir']",6.650.000 TL
"ELİA DAN ÖN CEPHE AYRİ MUTFAK MASRAFSİZ 2+1 YÜKSEK GİRİS SATILIK
            ","['Edremit', ' Balıkesir']",2.150.000 TL
"ARNAVUTKÖY / ANADOLU MAH./ DUBLEX / SATILIK 3+2 / 2 GİRİŞLİ
            ","['Arnavutköy', ' İstanbul']",2.500.000 TL
"MERKEZKENT 2+1 KONFORLU DAİRE BAHÇELİŞEHİRLER'DE !!
            ","[' Merkez', ' Kastamonu']",1.300.000 TL
"AKTAŞ EMLKTAN DREBAHÇE'DE SATILIK ULTRA LÜKS DAİRE
            ","['İlkadım', ' Samsun']",2.750.000 TL
"ERDEMLI ALATA DA HAVUZLU AMERIKAN MUTFAKLI 3+1 SATILIK DAIRE
            ","['Erdemli', ' Mersin']",2.800.000 TL
"AYVALIK'DA FIRSAT FİYATA FERAH DAİRE!!
            ","['Ayvalık', ' Balıkesir']",6.400.000 TL
"Bornova narova 2 Eşyalı Satılık Daire 3+1
            ","['Bornova', ' İzmir']",6.500.000 TL
"Karacabey Yeniköyde Havuzlu Sitede2+1 Oturmaya Hazır Sıfır Daire
            ","['Karacabey', ' Bursa']",2.000.000 TL
"AYDIN Umurlu Mahallesinde Satılık 2+1 Lüks Daire
            ","['Efeler', ' Aydın']",2.000.000 TL
"AYGÜLDEN EDREMİT TE SIFIR DOĞALGAZLI OTOPARKLI 3+1SATILIK DUBLEX
            ","['Edremit', ' Balıkesir']",5.850.000 TL
"Doğan Emlak 'tan Ortadağda Satılık 3+1 Geniş ve Ön Daire
            ","['Sancaktepe', ' İstanbul']",3.300.000 TL
"YILDIRIM DAVUTDEDE'DE CADDE ÜZERİNDE SATILIK DAİRE !
            ","['Yıldırım', ' Bursa']",1.000.000 TL
"MAS YAPI ' DAN  2+1  FULL DEKOR MUHTEŞEM FIRSAT DAİRE !!
            ","['Esenyurt', ' İstanbul']",885.000 TL
"GİRNE LAPTA'DA FIRSAT FİYATLI HAVUZLU SİTEDE TAŞINMAYA HAZIR 2+1
            ","['Girne', ' K.K.T.C']",2.384.800 TL
"Artı Gayrimenkul'den Enhoşlar'da 2+1 Yüksek giriş Daire
            ","['Buca', ' İzmir']",1.455.000 TL
"AKÇABURGAZDA 2+1 0,69 ORANI İLE %100 KREDİYE UYGUN SATILIK DAİRE
            ","['Esenyurt', ' İstanbul']",1.749.000 TL
"TEK YETKİLİ! SİTE İÇERİSİNDE KREDİYE UYGUN CADDE ÜZERİNDE DAİRE
            ","['Sancaktepe', ' İstanbul']",3.750.000 TL
"İzmir Bostanlı da Nezih Sokakta Yatırımlık Daire
            ","['Karşıyaka', ' İzmir']",2.500.000 TL
"ASLI EMLAKTAN Ünye Saraçlı'da Satılık FIRSAT BİNA
            ","['Ünye', ' Ordu']",6.250.000 TL
"TRABZON ARAKLI MERKEZ'DE SATILIK 3+1 DOĞALGAZLI DAİRE
            ","['Araklı', ' Trabzon']",1.115.000 TL
"YETİŞEN ALIYOR !! 2+1 SIFIR SATILIK YEŞİLTEPEDE SON DAİRE
            ","['Ortahisar', ' Trabzon']",875.000 TL
"KONYAALTI UNCALI MAHAALLESİ SİTE İÇİNDE SATILIK 3+1 DAİRE
            ","['Konyaaltı', ' Antalya']",5.250.000 TL
"KIZILAY KÜLTÜR MAHALLESİ YÜKSEL CADDESNDE 3+1 KOMBİLİ DAİRE
            ","['Çankaya', ' Ankara']",2.250.000 TL
"ÜMRANİYE-NECİP FAZIL MAH. ALYA ELİT SİTESİ BOŞ 3+1 SATILIK DAİRE
            ","['Ümraniye', ' İstanbul']",6.450.000 TL
"BEYLİKDÜZÜ CUMHURİYET'TE 2+1 ULAŞIMA YAKIN SATILIK DAİRE
            ","['Beylikdüzü', ' İstanbul']",1.150.000 TL
"Çınarcık Teşvikiye Bld. (Karşıyaka)'da Satılık Daire
            ","['Çınarcık', ' Yalova']",1.200.000 TL
"UZMANLAR G.Y.D.FIRSAT ELVAN MAH.DE MÜKEMMEL KONUMDA 3+1 DAİRE
            ","['Etimesgut', ' Ankara']",1.400.000 TL
"BEYLİKDÜZÜ KAVAKLI'DA MARİNA'YA YAKIN 3+1 SIFIR SATILIK DAİRE
            ","['Beylikdüzü', ' İstanbul']",1.370.000 TL
"GÜMÜŞOVA YENİ MH.DE GÜNEY CEPHE 2+1 115 M2 SATILIK DAİRE
            ","['Gümüşova', ' Düzce']",950.000 TL
"ETİMESGUT AHİMESUT MAHALLESİNDE SATILIK FIRSAT 4+1 DAİRE
            ","['Etimesgut', ' Ankara']",2.690.000 TL
"TREND ROYAL SİTESİNDE EŞYALI 3+1
            ","['Kuşadası', ' Aydın']",7.350.000 TL
"DHG MURAT'TAN TACİNDE 3+1 ARAKAT LÜKS SIFIR DAİRE
            ","[' Merkez', ' Aksaray']",2.730.000 TL
"ALSANCAK MAHALESİNDE ARAKAT 3+1 FIRSAT DAİRE..
            ","['Etimesgut', ' Ankara']",1.649.000 TL
"KARASU'DA DENİZE SIFIR TAMAMI BU FİYATA HAVUZLU 1+1 DAİRE
            ","['Karasu', ' Sakarya']",850.000 TL
"BURSA NİLÜFER BEŞEVLER DE ACİL SATILIK 2+1 LÜX DAİRE 1.750.000
            ","['Nilüfer', ' Bursa']",1.750.000 TL
"Çanakkale Kepez Boğazkent Mah. 2+1 Ara Kat Sıfır Daire
            ","[' Merkez', ' Çanakkale']",1.860.000 TL
"KARASU'NUN EN LÜKS DONANIMLI SİTESİNDE SATILIK YAZLIK DAİRE
            ","['Karasu', ' Sakarya']",1.400.000 TL
"SAFİR BAKIRKÖY'DEN KARTALTEPE'DE 190M2 KAPALI OTOPARKLI SATILIK
            ","['Bakırköy', ' İstanbul']",7.750.000 TL
"BEYLİKDÜZÜ GEZGEN İNŞAAT'TAN 2.KATTA 2+1 ACİL SATILIK DAİRE
            ","['Beylikdüzü', ' İstanbul']",1.280.000 TL
"AKTİF'TEN ALTINKUM'DA AYRI MUTFAKLI MANTOLAMALI GENİŞ 3+1 DAİRE
            ","['Edremit', ' Balıkesir']",1.599.000 TL
"ERDEMLİKOMİSYONSUZ 2+1 SATILIK DAİRE ERDEMLİ
            ","['Erdemli', ' Mersin']",1.850.000 TL
"Fenerbahçe Ayanoğlu Caddesi 3+1 Balkonlu Sıfır Daire
            ","['Kadıköy', ' İstanbul']",12.750.000 TL
"BİZZ TOWER FIRSAT 1+1 SIFIR ARAKAT DAİRE
            ","['Esenyurt', ' İstanbul']",2.010.249 TL
"Kozan emlak dan satılık 3+1 daire
            ","['Pozantı', ' Adana']",1.850.000 TL
"SATILIK FERAH ÇİFT BALKONLU KUŞADASIN DA DAİRE
            ","['Kuşadası', ' Aydın']",2.720.000 TL
"Karşıyaka Ata Kent Yalı da Satılık 3+1 Lüx Daire
            ","['Karşıyaka', ' İzmir']",3.970.000 TL
"Bodrum Gümüşlük'te 2+1 Satılık Üst Kat Daire
            ","['Bodrum', ' Muğla']",5.600.000 TL
"ABİT GM,KILECI MH.  3+1 YOL CEPHELI 4 YILLIK SATILIK DAIRE
            ","['Akşehir', ' Konya']",1.610.000 TL
"2 NOLU BEŞİRLİ TEPEPARK SİTESİNDE SATILIK 3+1 DAİRE
            ","['Ortahisar', ' Trabzon']",2.600.000 TL
"ŞEFİKCAN YAKINI ADAKALE CADDESİNDE SATILIK ULTRA LÜKS DAİRE
            ","['Selçuklu', ' Konya']",4.500.000 TL
"MANİSA MERKEZ NİŞANCIPAŞA MH SATILIK FULL BAHÇELİ GİRİŞ KAT
            ","['Şehzadeler', ' Manisa']",1.495.000 TL
"Marmaris Çıldır Satılık Sıfır Daire, Flat for Sale in Marmaris
            ","['Marmaris', ' Muğla']",6.750.000 TL
"Datça merkezde full deniz manzaralı bahçe kat 2+1 daire
            ","['Datça', ' Muğla']",7.500.000 TL
"Bayrampaşa Terazidere Mah 2+1 Satılık Daire 85 m2
            ","['Bayrampaşa', ' İstanbul']",2.450.000 TL
"AKTİFTEN ALTINOLUKTA HAFTANIN SON FIRSATI FULL KREDİLİ 2+1DAİRE
            ","['Edremit', ' Balıkesir']",1.650.000 TL
"TEK YETKİLİ REMAX BORDO ULTRA LÜX SATILIK DAİRE شقة فاخرة للبيع
            ","['Ortahisar', ' Trabzon']",6.210.000 TL
"RE/MAX Target Cevat Topal'dan Larissa Göl Evlerinde Satılık 1+1
            ","['Menemen', ' İzmir']",1.200.000 TL
"GN. DR. TEVFİK SAĞLAM CD.Sİ ÜZERİNDE ÖN CEPHE SALON BAĞIMSIZ 3+1
            ","['Keçiören', ' Ankara']",2.140.000 TL
"İstanbul Saraylarında 3 Cepheli Full Manzaralı 3+1 Satılık Daire
            ","['Küçükçekmece', ' İstanbul']",8.250.000 TL
"GOCCE GAYRİMENKUL YUVAM AKARCA'DA EN MÜKEMMEL KONUMDA 2+1 DAİRE
            ","['İzmit', ' Kocaeli']",1.100.000 TL
"Toptancılar Civarı Rojinda Sitesi Satılık 3+1 Daire
            ","['Bağlar', ' Diyarbakır']",1.350.000 TL
"DİDİM EFELER'DE SATILIK DUBLEKS 3+1ACIK MUTFAK  130 M2
            ","['Didim', ' Aydın']",4.100.000 TL
"ARSLANOĞLU GAYRİMENKUL'DEN SEYRANTEPE'DE ÖN CEPHE 2+1 DAİRE
            ","['Şehitkamil', ' Gaziantep']",1.550.000 TL
"ERGENE SAĞLIK' ta, E-5 YANI SATILIK  2+1 D.GAZLI 106 m2 DAİRE
            ","['Ergene', ' Tekirdağ']",1.600.000 TL
"KARASU DA DAHA UCUZU YOK ARA KATTA KOMBİ PETEKLİ MUTFAK AYRI
            ","['Karasu', ' Sakarya']",835.000 TL
"ETİLER'DE 4+1 DUBLEX LÜX SATILIK FIRSAT DAİRE
            ","['Muratpaşa', ' Antalya']",3.600.000 TL
"AYHAN HEPDİKER GAYRİMENKULDEN ERENLERDE 140 M2 3+1SIFIR DAİRELER
            ","['Erenler', ' Sakarya']",2.400.000 TL
"DAĞISTAN GAYRİMENKULDEN HATBOYUNA YAKIN DEPREN SONRASI 4+1 DAİRE
            ","['Bakırköy', ' İstanbul']",10.879.000 TL
"SKY * BURSA YILDIRIM MAHALLESİ GÖKDERE PAZAR YERİ SATILIK DAİRE
            ","['Yıldırım', ' Bursa']",1.395.000 TL
"YAHŞİBEY'DE SATILIK 2+1 ARAKAT DAİRE
            ","['Osmangazi', ' Bursa']",890.000 TL
"ÇATAL-ÇEŞME HAVACI BİNBAŞI SOKAK'TA 3+1 SATILIK DAİRE
            ","['Kadıköy', ' İstanbul']",7.950.000 TL
"Atakum Körfez'de Satılık 1+1 Daire
            ","['Atakum', ' Samsun']",1.400.000 TL
"KIZLARPINARINDA DENİZE SIFIR 2+1 SATILIK DAİRE
            ","['Alanya', ' Antalya']",3.400.000 TL
"ÇÖZÜM'DEN KÖŞEBAŞI SATILIK E.BANYOLU ARA KATTA 3+1 DAİRE!
            ","['Keçiören', ' Ankara']",1.550.000 TL
"HÜRRİYETTE SATILIK 2+1 ÇATI KATI DAİRE
            ","['Bağcılar', ' İstanbul']",790.000 TL
"Bodrum Merkezde 2+1 Satılık
            ","['Bodrum', ' Muğla']",6.500.000 TL
"YENİŞEHİR EMİNEVİM 5YÜZ60 SİTESİNDE 2+1 SATILIK EŞYALI DAİRE
            ","['Pendik', ' İstanbul']",4.200.000 TL
"AKVA İNŞAAT'TAN 0.99 KREDİYE UYGUN GENİŞ KULLANIŞLI2+1 DAİRE!!
            ","['Beylikdüzü', ' İstanbul']",1.050.000 TL
"BÜYÜK BÖLCEK MAH.ANA CAD.ÜZERİNDE FIRSAT SATILIK 3+1 DAİRE
            ","[' Merkez', ' Aksaray']",979.000 TL
"KARŞIYAKA BAHÇELİEVLER FIRSAT!! 2+1 SATILIK DAİRE
            ","['Karşıyaka', ' İzmir']",2.525.000 TL
"AKÇAY KÖŞEM EMLAKTAN EDREMİT GAZİCELAL de 3+1 DOĞAL GAZLI
            ","['Edremit', ' Balıkesir']",2.100.000 TL
"METRO DURAĞINA YAKIN EKŞİOĞLU AKKENT 1 SİTESİ 150 M2 3+1
            ","['Ümraniye', ' İstanbul']",5.700.000 TL
"EMLAKYAP'TAN MAVERA COMFORT 2+1 SATILIK SIFIR DAİRE
            ","['Başakşehir', ' İstanbul']",7.490.000 TL
"Dalaman Hürriyet Mahallesinde 3+1 140 m2 Sıfır Daire
            ","['Dalaman', ' Muğla']",2.600.000 TL
"Poligon Meydanda Caddede 3+1 Lüks Yapılı Otoparklı Asansörlü
            ","['Karabağlar', ' İzmir']",4.950.000 TL
"KUŞADASI KADINLAR DENİZİ 3+1 MANZARALI DAİRE
            ","['Kuşadası', ' Aydın']",3.100.000 TL
"YILMAZER'DEN FERİDUNÇELİKTE BİR HAFTA GEÇERLİ KELEPİR FİYATA!!
            ","['Altındağ', ' Ankara']",1.295.000 TL
"TURGUTREİS MERKEZDE SATILIK 2+1 BAHÇE KATI DAİRE
            ","['Bodrum', ' Muğla']",5.150.000 TL
"Avcılar Gümüşpala Mahallesi Sıfır Binada Satılık 1+1 Daire
            ","['Avcılar', ' İstanbul']",1.700.000 TL
"Bodrum Yalıkavak Dirmil'de Satılık Full Deniz Manzaralı Daire
            ","['Bodrum', ' Muğla']",9.400.000 TL
"TOKİ EVLERİNDE FERAH 2+1 SATILIK EBEVEYN BANYOLU DAİRE
            ","['Kağıthane', ' İstanbul']",7.500.000 TL
"ETİLER ALKENT SİTESİNDE İYİ KONUMLU 5+1 ÇATI DUBLEKSİ SATILIK
            ","['Beşiktaş', ' İstanbul']",39.500.000 TL
"GFA GRUP EMLAK DANIŞMANLIK'TAN KADIKÖYDE HAVUZLU 3+1 DAİRE
            ","['Edremit', ' Balıkesir']",1.850.000 TL
